année;mois;trafic
2009;1;2843970
2009;2;2475529
2009;3;2696525
2009;4;2711943
2009;5;2477568
2009;6;2415928
2009;7;2832503
2009;8;2746188
2009;9;2792110
2009;10;3073273
2009;11;2896761
2009;12;3035744
2010;1;3002821
2010;2;2776412
2010;3;2977829
2010;4;2885086
2010;5;2707431
2010;6;2735289
2010;7;3098523
2010;8;2961726
2010;9;3022007
2010;10;3198834
2010;11;3052913
2010;12;3231470
2011;1;3146394
2011;2;2771145
2011;3;2976744
2011;4;3005582
2011;5;2801294
2011;6;2691735
2011;7;3104336
2011;8;2942304
2011;9;3003735
2011;10;3090237
2011;11;2995276
2011;12;3145151
2012;1;3152180
2012;2;2795922
2012;3;3049284
2012;4;3005651
2012;5;2833328
2012;6;2869395
2012;7;3191228
2012;8;3106916
2012;9;3179592
2012;10;3282291
2012;11;3217905
2012;12;3324378
2013;1;3272748
2013;2;2853024
2013;3;3154998
2013;4;3131368
2013;5;2931804
2013;6;2956253
2013;7;3343443
2013;8;3200250
2013;9;3201058
2013;10;3402579
2013;11;3242198
2013;12;3460823
2014;1;3455808
2014;2;2957150
2014;3;3184630
2014;4;3194542
2014;5;3011684
2014;6;2975139
2014;7;3320236
2014;8;3205122
2014;9;3217122
2014;10;3482862
2014;11;3259834
2014;12;3468813
2015;1;3412810
2015;2;3010057
2015;3;3337568
2015;4;3213875
2015;5;3054632
2015;6;3039073
2015;7;3484862
2015;8;3266880
2015;9;3349538
2015;10;3534144
2015;11;3412839
2015;12;3692569
2016;1;3675936
2016;2;3315679
2016;3;3525027
2016;4;3441596
2016;5;3210189
2016;6;3196170
2016;7;3679394
2016;8;3419804
2016;9;3532833
2016;10;3659055
2016;11;3566193
2016;12;3796045
2017;1;3815496
2017;2;3283913
2017;3;3574611
2017;4;3589165
2017;5;3337694
2017;6;3360019
2017;7;3791267
2017;8;3536884
2017;9;3597194
2017;10;3789628
2017;11;3722359
2017;12;3931830
2018;1;3881666
2018;2;3451873
2018;3;3782141
2018;4;3687574
2018;5;3438889
2018;6;3423527
2018;7;3892608
2018;8;3688171
2018;9;3617390
2018;10;3919005
2018;11;3728873
2018;12;3918041
2019;1;3945728
2019;2;3403907
2019;3;3660249
2019;4;3684204
2019;5;3517359
2019;6;3400234
2019;7;3838607
2019;8;3679406
2019;9;3643906
2019;10;3968275
2019;11;3738319
2019;12;3948651
